id,tested_positive
387,12.517126
388,15.638994
389,18.059818
390,15.538395
391,17.286263
392,13.129725
393,11.194204
394,10.084072
395,15.369571
396,15.076238
397,6.843266
398,12.690276
399,6.175385
400,13.478583
401,10.811564
402,4.3404613
403,5.645381
404,11.019552
405,14.586305
406,11.055381
407,6.6635838
408,5.181852
409,6.7556686
410,6.9769664
411,9.244016
412,7.6179705
413,13.410832
414,8.228785
415,13.370838
416,6.8562346
417,11.583114
418,6.970871
419,6.7726374
420,11.323686
421,6.517203
422,15.124314
423,7.490432
424,15.202974
425,6.2735705
426,15.517346
427,6.5945897
428,7.6424394
429,13.5644
430,15.557989
431,17.466461
432,6.9516788
433,4.1861215
434,10.193977
435,15.565914
436,10.474421
437,5.3841867
438,12.808953
439,6.742519
440,15.867901
441,11.0827265
442,11.328205
443,13.715391
444,7.528134
445,19.041378
446,12.4562845
447,16.869055
448,11.540264
449,12.208947
450,8.162887
451,8.349781
452,12.949007
453,12.507197
454,8.686963
455,14.074996
456,15.784883
457,11.445637
458,16.530102
459,6.871408
460,17.530926
461,8.004298
462,6.153762
463,6.4111686
464,7.368717
465,6.133048
466,11.157361
467,16.876123
468,7.765455
469,11.110172
470,9.997832
471,13.485437
472,11.585785
473,8.371894
474,11.362388
475,15.644164
476,6.543071
477,5.5004272
478,7.9919205
479,9.000569
480,17.992723
481,16.137543
482,9.106831
483,12.961336
484,10.399729
485,17.746078
486,11.79074
487,9.988201
488,14.362257
489,15.6519575
490,9.5136385
491,7.400794
492,11.73606
493,11.140201
494,17.258345
495,4.232862
496,17.708569
497,15.729463
498,8.484278
499,12.4449
500,5.199464
501,8.026423
502,17.860537
503,16.443544
504,13.462398
505,10.220793
506,15.5424
507,6.405268
508,10.554549
509,4.7429347
510,9.357148
511,21.160103
512,10.647227
513,9.273857
514,6.537937
515,5.925901
516,20.275442
517,5.9775205
518,12.931161
519,18.322641
520,9.352119
521,10.944748
522,5.2626276
523,7.3684797
524,8.116856
525,21.871117
526,11.153234
527,16.367281
528,7.2150807
529,13.901694
530,11.936618
531,7.0398545
532,4.5667424
533,18.273401
534,7.636211
535,17.02657
536,9.864428
537,8.706927
538,9.267442
539,15.615229
540,9.945029
541,18.220642
542,16.675196
543,11.18449
544,15.323366
545,9.270258
546,9.7397785
547,11.209474
548,8.275647
549,12.464451
550,8.588361
551,10.69684
552,9.636486
553,9.454334
554,3.96816
555,14.981442
556,11.558878
557,8.081509
558,12.086012
559,10.742028
560,19.70792
561,10.899524
562,6.5251474
563,12.751035
564,5.1293583
565,7.3024735
566,9.077229
567,16.616144
568,7.3747377
569,8.978407
570,7.692061
571,11.865072
572,18.539177
573,10.40256
574,18.244606
575,9.444248
576,16.459183
577,5.3289247
578,6.780959
579,7.660392
580,7.8682494
581,6.1694446
582,6.8819575
583,7.736381
584,7.9998503
585,6.996461
586,9.123273
587,4.4094143
588,13.151405
589,9.077198
590,8.3587265
591,15.800778
592,5.85513
593,7.4180374
594,7.137095
595,7.4125276
596,8.674985
597,8.998309
598,6.374444
599,8.999953
600,10.147137
601,15.675972
602,8.293278
603,4.864238
604,10.207432
605,17.073841
606,7.9004893
607,10.067685
608,9.495645
609,14.92874
610,15.3094425
611,8.990056
612,13.657104
613,4.2293677
614,14.797102
615,7.890046
616,7.92707
617,14.233273
618,7.5983768
619,16.554916
620,8.037925
621,8.3454
622,13.009639
623,8.768784
624,9.109875
625,6.546082
626,16.926832
627,20.208704
628,5.500592
629,10.520255
630,6.161517
631,15.839745
632,9.85449
633,16.94387
634,8.492847
635,11.219079
636,12.716528
637,18.350273
638,8.747731
639,18.86933
640,8.3510065
641,22.042662
642,8.4646225
643,8.129323
644,7.998802
645,10.171526
646,6.08354
647,15.70441
648,9.389071
649,5.8960996
650,14.89613
651,6.1834335
652,9.907334
653,20.624834
654,16.156332
655,10.008238
656,14.106528
657,25.108097
658,14.529774
659,17.128372
660,13.9822035
661,6.9456325
662,28.648197
663,8.261689
664,24.237377
665,15.054989
666,10.62626
667,14.641683
668,18.630053
669,9.099662
670,12.53671
671,11.84378
672,11.814193
673,12.691353
674,7.8862977
675,21.427582
676,17.033863
677,16.727337
678,8.620479
679,14.107493
680,7.4585423
681,9.286969
682,27.980352
683,28.77596
684,7.689303
685,18.465103
686,12.841178
687,12.955863
688,5.465239
689,5.8480086
690,13.274093
691,9.544928
692,22.22237
693,11.506134
694,6.9759836
695,22.269024
696,6.6189637
697,19.336157
698,15.853113
699,22.450663
700,10.347104
701,13.627498
702,12.139937
703,5.1358123
704,11.217402
705,16.603304
706,9.012893
707,10.841169
708,6.6437488
709,24.701443
710,18.562893
711,10.370007
712,4.8774276
713,12.139349
714,15.415076
715,7.443156
716,14.048849
717,17.79782
718,6.950521
719,10.461932
720,9.073118
721,15.393213
722,10.535938
723,11.824828
724,16.133293
725,16.111265
726,9.34206
727,15.39915
728,12.464739
729,4.9698277
730,23.685585
731,5.5086174
732,6.420006
733,24.467861
734,9.137658
735,12.083112
736,13.896072
737,14.171104
738,8.456255
739,6.238215
740,6.498161
741,15.026389
742,11.749004
743,6.227913
744,10.669304
745,18.526527
746,15.153354
747,16.707758
748,6.9374347
749,9.550105
750,8.209244
751,9.581685
752,11.528085
753,4.3881593
754,11.219976
755,14.744475
756,13.181212
757,6.019257
758,9.346387
759,11.50611
760,17.940706
761,9.059465
762,9.557355
763,14.89051
764,10.335212
765,4.853696
766,13.277483
767,12.404387
768,12.770723
769,5.686581
770,21.692987
771,12.802978
772,15.561024
773,16.297071
774,9.068047
775,12.418167
776,7.882349
777,20.5876
778,9.0172615
779,14.666577
780,19.760412
781,8.251414
782,24.111118
783,11.728476
784,15.551635
785,16.907316
786,14.228409
787,10.848545
788,8.625475
789,7.894493
790,11.059878
791,9.219707
792,14.314667
793,5.895557
794,10.298958
795,6.7404923
796,15.55696
797,12.8671875
798,17.980257
799,10.261463
800,11.832754
801,15.219745
802,9.692449
803,9.835841
804,11.879679
805,6.424765
806,21.287682
807,16.707626
808,13.305731
809,20.36458
810,20.069735
811,17.869936
812,21.609816
813,13.961392
814,11.167224
815,21.145287
816,18.044489
817,17.737408
818,18.561628
819,9.222919
820,19.157818
821,4.6363816
822,16.241537
823,23.16071
824,16.390554
825,8.731558
826,7.6101995
827,9.739102
828,8.731255
829,21.688078
830,7.144364
831,14.019419
832,28.090416
833,11.629643
834,18.221638
835,32.28969
836,10.734356
837,24.509605
838,22.669695
839,11.92797
840,28.770956
841,21.768677
842,13.128981
843,10.434744
844,30.520008
845,13.785984
846,11.41398
847,17.283636
848,7.292716
849,10.011907
850,18.942078
851,13.313323
852,23.414566
853,14.135027
854,12.027172
855,7.6111193
856,18.308321
857,10.234756
858,10.492203
859,19.161104
860,25.582375
861,28.234482
862,18.909933
863,24.087713
864,23.360895
865,23.763998
866,16.265535
867,25.054846
868,26.740463
869,22.220636
870,9.031368
871,26.390718
872,31.252766
873,31.666887
874,7.2518897
875,29.801796
876,15.619002
877,28.599258
878,11.408859
879,20.902948
880,22.059732
881,22.772932
882,9.929988
883,14.906388
884,32.144043
885,17.911013
886,20.125204
887,24.733562
888,11.3610115
889,13.142927
890,10.6350975
891,20.947279
892,17.869299
893,13.082847
894,38.49131
895,8.531647
896,20.142448
897,27.754423
898,22.67023
899,35.698414
900,24.727726
901,6.9124618
902,26.015392
903,17.792814
904,22.808968
905,8.709266
906,33.40466
907,23.26828
908,11.412247
909,10.757678
910,33.22873
911,31.961237
912,35.32661
913,10.580035
914,22.244274
915,42.659264
916,15.311462
917,14.162019
918,26.921244
919,23.537628
920,17.470137
921,17.66002
922,18.126652
923,45.474957
924,17.82247
925,9.181259
926,26.016392
927,25.283709
928,28.340475
929,14.334859
930,20.069393
931,46.03289
932,12.45811
933,31.510983
934,27.925247
935,11.9533415
936,10.617398
937,27.60994
938,19.410536
939,25.791904
940,25.099571
941,35.217213
942,22.688663
943,35.000694
944,18.006971
945,24.92434
946,25.58993
947,37.5274
948,26.814863
949,8.764764
950,31.505127
951,42.906586
952,21.835508
953,14.601695
954,22.734945
955,27.87814
956,32.741207
957,17.054438
958,21.161795
959,25.567362
960,8.179208
961,32.10467
962,28.532156
963,24.51076
964,31.766712
965,23.954405
966,12.079301
967,28.730017
968,32.22613
969,26.111536
970,26.10318
971,21.036734
972,26.017979
973,18.82285
974,19.8484
975,31.630056
976,9.366935
977,34.741203
978,20.38531
979,35.218044
980,13.4982
981,19.981388
982,31.558222
983,22.516548
984,38.39807
985,12.659773
986,37.289665
987,23.51605
988,21.902824
989,36.773743
990,29.76854
991,21.752178
992,29.504385
993,27.562586
994,15.115057
995,34.124435
996,41.126865
997,34.99248
998,17.37261
999,29.923391
1000,7.411248
1001,13.431463
1002,29.411907
1003,32.882965
1004,8.379267
1005,28.06458
1006,27.14463
1007,17.05794
1008,18.544044
1009,23.65189
1010,23.681507
1011,28.02844
1012,20.710203
1013,36.876762
1014,32.62178
1015,28.954134
1016,27.945654
1017,28.328735
1018,19.781086
1019,22.035597
1020,18.197197
1021,32.097935
1022,43.158768
1023,26.69105
1024,34.32056
1025,34.23606
1026,20.806442
1027,17.893297
1028,32.26728
1029,37.612667
1030,12.800621
1031,28.668577
1032,14.390038
1033,17.46218
1034,26.878626
1035,33.18649
1036,34.296402
1037,13.014525
1038,15.351575
1039,14.537737
1040,33.985424
1041,18.056072
1042,35.109882
1043,38.237263
1044,18.410685
1045,35.999992
1046,21.320011
1047,19.54338
1048,34.39613
1049,26.23538
1050,29.347044
1051,32.80748
1052,18.608778
1053,32.605366
1054,34.068897
1055,39.473434
1056,23.344992
1057,26.66806
1058,25.546589
1059,34.002438
1060,39.196995
1061,26.900717
1062,36.637215
1063,29.436827
1064,33.267414
1065,22.552723
1066,30.985996
1067,23.549967
1068,26.02624
1069,30.517908
1070,26.477236
1071,29.722813
1072,38.856155
1073,35.220528
1074,34.74437
1075,36.740883
1076,36.13751
1077,39.56284
